Дата,Цена
2023-05-25 00:00:00+00:00,116.1
2023-05-26 00:00:00+00:00,116.25
2023-05-29 00:00:00+00:00,116.025
2023-05-30 00:00:00+00:00,112.425
2023-05-31 00:00:00+00:00,111.0
2023-06-01 00:00:00+00:00,107.125
2023-06-02 00:00:00+00:00,113.15
2023-06-05 00:00:00+00:00,109.525
2023-06-06 00:00:00+00:00,111.675
2023-06-07 00:00:00+00:00,114.8
2023-06-08 00:00:00+00:00,113.75
2023-06-09 00:00:00+00:00,113.925
2023-06-13 00:00:00+00:00,115.1
2023-06-14 00:00:00+00:00,115.25
2023-06-15 00:00:00+00:00,115.25
2023-06-16 00:00:00+00:00,114.875
2023-06-19 00:00:00+00:00,114.425
2023-06-20 00:00:00+00:00,113.475
2023-06-21 00:00:00+00:00,113.875
2023-06-22 00:00:00+00:00,111.65
2023-06-23 00:00:00+00:00,110.0
2023-06-26 00:00:00+00:00,109.4
2023-06-27 00:00:00+00:00,109.05
2023-06-28 00:00:00+00:00,108.375
2023-06-29 00:00:00+00:00,109.025
2023-06-30 00:00:00+00:00,108.425
2023-07-03 00:00:00+00:00,110.45
2023-07-04 00:00:00+00:00,112.15
2023-07-05 00:00:00+00:00,112.2
2023-07-06 00:00:00+00:00,112.075
2023-07-07 00:00:00+00:00,112.425
2023-07-10 00:00:00+00:00,115.05
2023-07-11 00:00:00+00:00,116.8
2023-07-12 00:00:00+00:00,116.0
2023-07-13 00:00:00+00:00,115.35
2023-07-14 00:00:00+00:00,116.375
2023-07-17 00:00:00+00:00,116.15
2023-07-18 00:00:00+00:00,117.7
2023-07-19 00:00:00+00:00,116.75
2023-07-20 00:00:00+00:00,113.8
2023-07-21 00:00:00+00:00,115.175
2023-07-24 00:00:00+00:00,116.125
2023-07-25 00:00:00+00:00,116.55
2023-07-26 00:00:00+00:00,117.45
2023-07-27 00:00:00+00:00,125.5
2023-07-28 00:00:00+00:00,125.4
2023-07-31 00:00:00+00:00,129.075
2023-08-01 00:00:00+00:00,128.15
2023-08-02 00:00:00+00:00,128.0
2023-08-03 00:00:00+00:00,135.35
2023-08-04 00:00:00+00:00,132.625
2023-08-07 00:00:00+00:00,130.375
2023-08-08 00:00:00+00:00,133.3
2023-08-09 00:00:00+00:00,132.725
2023-08-10 00:00:00+00:00,142.75
2023-08-11 00:00:00+00:00,141.5
2023-08-14 00:00:00+00:00,137.3
2023-08-15 00:00:00+00:00,135.975
2023-08-16 00:00:00+00:00,133.875
2023-08-17 00:00:00+00:00,139.225
2023-08-18 00:00:00+00:00,139.8
2023-08-21 00:00:00+00:00,139.35
2023-08-22 00:00:00+00:00,138.675
2023-08-23 00:00:00+00:00,135.1
2023-08-24 00:00:00+00:00,138.125
2023-08-25 00:00:00+00:00,139.275
2023-08-28 00:00:00+00:00,142.175
2023-08-29 00:00:00+00:00,141.2
2023-08-30 00:00:00+00:00,140.5
2023-08-31 00:00:00+00:00,144.125
2023-09-01 00:00:00+00:00,143.95
2023-09-04 00:00:00+00:00,146.475
2023-09-05 00:00:00+00:00,144.975
2023-09-06 00:00:00+00:00,142.575
2023-09-07 00:00:00+00:00,137.725
2023-09-08 00:00:00+00:00,135.95
2023-09-11 00:00:00+00:00,133.325
2023-09-12 00:00:00+00:00,136.775
2023-09-13 00:00:00+00:00,133.35
2023-09-14 00:00:00+00:00,133.025
2023-09-15 00:00:00+00:00,135.425
2023-09-18 00:00:00+00:00,134.35
2023-09-19 00:00:00+00:00,128.35
2023-09-20 00:00:00+00:00,127.7
